Country / territory of asylum/residence,Origin,Year,Month,Value
#country+asylum,#country+origin,#date+year,#date+month,#affected
Canada,Madagascar,1999,January,1
Canada,Madagascar,1999,April,1
France,Madagascar,1999,March,1
France,Madagascar,1999,April,1
France,Madagascar,1999,July,1
France,Madagascar,1999,September,1
France,Madagascar,1999,October,1
Germany,Madagascar,1999,April,1
Hungary,Madagascar,1999,June,2
Canada,Madagascar,2000,January,1
Canada,Madagascar,2000,March,1
Canada,Madagascar,2000,April,1
Canada,Madagascar,2000,August,1
Czech Rep.,Madagascar,2000,October,1
France,Madagascar,2000,January,1
France,Madagascar,2000,February,2
France,Madagascar,2000,March,5
France,Madagascar,2000,April,1
France,Madagascar,2000,June,1
France,Madagascar,2000,July,4
France,Madagascar,2000,August,7
France,Madagascar,2000,September,6
France,Madagascar,2000,October,6
France,Madagascar,2000,November,1
France,Madagascar,2000,December,4
Poland,Madagascar,2000,September,2
Austria,Madagascar,2001,September,1
France,Madagascar,2001,January,2
France,Madagascar,2001,February,7
France,Madagascar,2001,March,1
France,Madagascar,2001,April,5
France,Madagascar,2001,June,4
France,Madagascar,2001,July,6
France,Madagascar,2001,August,4
France,Madagascar,2001,September,9
France,Madagascar,2001,October,1
France,Madagascar,2001,November,5
France,Madagascar,2001,December,14
Germany,Madagascar,2001,August,1
Hungary,Madagascar,2001,September,1
Belgium,Madagascar,2002,March,1
Belgium,Madagascar,2002,May,2
Belgium,Madagascar,2002,June,1
Belgium,Madagascar,2002,August,1
Belgium,Madagascar,2002,October,5
Canada,Madagascar,2002,April,2
Canada,Madagascar,2002,August,1
Canada,Madagascar,2002,October,2
France,Madagascar,2002,January,6
France,Madagascar,2002,February,6
France,Madagascar,2002,March,11
France,Madagascar,2002,April,15
France,Madagascar,2002,May,16
France,Madagascar,2002,June,30
France,Madagascar,2002,July,46
France,Madagascar,2002,August,39
France,Madagascar,2002,September,33
France,Madagascar,2002,October,44
France,Madagascar,2002,November,37
France,Madagascar,2002,December,27
Ireland,Madagascar,2002,March,1
Norway,Madagascar,2002,April,1
Switzerland,Madagascar,2002,June,1
Austria,Madagascar,2003,April,1
Austria,Madagascar,2003,October,1
Belgium,Madagascar,2003,February,1
Belgium,Madagascar,2003,March,1
Belgium,Madagascar,2003,April,1
Belgium,Madagascar,2003,November,1
Canada,Madagascar,2003,July,3
Canada,Madagascar,2003,October,1
Canada,Madagascar,2003,December,1
France,Madagascar,2003,January,36
France,Madagascar,2003,February,67
France,Madagascar,2003,March,37
France,Madagascar,2003,April,34
France,Madagascar,2003,May,42
France,Madagascar,2003,June,15
France,Madagascar,2003,July,31
France,Madagascar,2003,August,23
France,Madagascar,2003,September,23
France,Madagascar,2003,October,24
France,Madagascar,2003,November,36
France,Madagascar,2003,December,29
Germany,Madagascar,2003,June,1
Germany,Madagascar,2003,November,1
Sweden,Madagascar,2003,August,1
Switzerland,Madagascar,2003,January,2
Switzerland,Madagascar,2003,February,1
Switzerland,Madagascar,2003,July,3
Switzerland,Madagascar,2003,September,1
Switzerland,Madagascar,2003,October,2
Switzerland,Madagascar,2003,November,1
USA (EOIR),Madagascar,2003,August,3
Austria,Madagascar,2004,April,1
Austria,Madagascar,2004,September,2
Belgium,Madagascar,2004,April,3
Belgium,Madagascar,2004,May,2
Belgium,Madagascar,2004,August,1
Belgium,Madagascar,2004,October,2
Canada,Madagascar,2004,July,1
Canada,Madagascar,2004,November,1
Finland,Madagascar,2004,November,1
France,Madagascar,2004,January,17
France,Madagascar,2004,February,25
France,Madagascar,2004,March,34
France,Madagascar,2004,April,18
France,Madagascar,2004,May,29
France,Madagascar,2004,June,36
France,Madagascar,2004,July,17
France,Madagascar,2004,August,24
France,Madagascar,2004,September,14
France,Madagascar,2004,October,35
France,Madagascar,2004,November,28
France,Madagascar,2004,December,26
United Kingdom of Great Britain and Northern Ireland,Madagascar,2004,May,2
Germany,Madagascar,2004,January,1
Germany,Madagascar,2004,May,1
Slovakia,Madagascar,2004,February,1
Slovakia,Madagascar,2004,March,1
Sweden,Madagascar,2004,December,1
Switzerland,Madagascar,2004,January,1
Switzerland,Madagascar,2004,February,1
Switzerland,Madagascar,2004,May,1
Switzerland,Madagascar,2004,June,1
Switzerland,Madagascar,2004,July,1
Switzerland,Madagascar,2004,August,2
Switzerland,Madagascar,2004,September,2
USA (EOIR),Madagascar,2004,November,1
Finland,Madagascar,2005,May,2
France,Madagascar,2005,January,12
France,Madagascar,2005,February,19
France,Madagascar,2005,March,32
France,Madagascar,2005,April,20
France,Madagascar,2005,May,21
France,Madagascar,2005,June,17
France,Madagascar,2005,July,25
France,Madagascar,2005,August,27
France,Madagascar,2005,September,25
France,Madagascar,2005,October,26
France,Madagascar,2005,November,10
France,Madagascar,2005,December,21
