"GHO (CODE)","GHO (DISPLAY)","GHO (URL)","PUBLISHSTATE (CODE)","PUBLISHSTATE (DISPLAY)","PUBLISHSTATE (URL)","YEAR (CODE)","YEAR (DISPLAY)","YEAR (URL)","REGION (CODE)","REGION (DISPLAY)","REGION (URL)","WORLDBANKINCOMEGROUP (CODE)","WORLDBANKINCOMEGROUP (DISPLAY)","WORLDBANKINCOMEGROUP (URL)","COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_41","Diphtheria - number of reported cases","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=43","PUBLISHED","Published","","1976","1976","","AFR","Africa","","WB_LI","Low-income","","MDG","Madagascar","","21","21.00000","","","","",""
"WHS3_41","Diphtheria - number of reported cases","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=43","PUBLISHED","Published","","1977","1977","","AFR","Africa","","WB_LI","Low-income","","MDG","Madagascar","","1874","1874.00000","","","","",""
"WHS3_41","Diphtheria - number of reported cases","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=43","PUBLISHED","Published","","1978","1978","","AFR","Africa","","WB_LI","Low-income","","MDG","Madagascar","","1168","1168.00000","","","","",""
"WHS3_41","Diphtheria - number of reported cases","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=43","PUBLISHED","Published","","1979","1979","","AFR","Africa","","WB_LI","Low-income","","MDG","Madagascar","","479","479.00000","","","","",""
"WHS3_41","Diphtheria - number of reported cases","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=43","PUBLISHED","Published","","1980","1980","","AFR","Africa","","WB_LI","Low-income","","MDG","Madagascar","","227","227.00000","","","","",""
"WHS3_41","Diphtheria - number of reported cases","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=43","PUBLISHED","Published","","1981","1981","","AFR","Africa","","WB_LI","Low-income","","MDG","Madagascar","","836","836.00000","","","","",""
"WHS3_41","Diphtheria - number of reported cases","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=43","PUBLISHED","Published","","1982","1982","","AFR","Africa","","WB_LI","Low-income","","MDG","Madagascar","","1333","1333.00000","","","","",""
"WHS3_41","Diphtheria - number of reported cases","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=43","PUBLISHED","Published","","1983","1983","","AFR","Africa","","WB_LI","Low-income","","MDG","Madagascar","","1988","1988.00000","","","","",""
"WHS3_41","Diphtheria - number of reported cases","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=43","PUBLISHED","Published","","1984","1984","","AFR","Africa","","WB_LI","Low-income","","MDG","Madagascar","","1799","1799.00000","","","","",""
"WHS3_41","Diphtheria - number of reported cases","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=43","PUBLISHED","Published","","1985","1985","","AFR","Africa","","WB_LI","Low-income","","MDG","Madagascar","","1963","1963.00000","","","","",""
"WHS3_41","Diphtheria - number of reported cases","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=43","PUBLISHED","Published","","1986","1986","","AFR","Africa","","WB_LI","Low-income","","MDG","Madagascar","","288","288.00000","","","","",""
