"GHO (CODE)","GHO (DISPLAY)","GHO (URL)","DATASOURCE (CODE)","DATASOURCE (DISPLAY)","DATASOURCE (URL)","PUBLISHSTATE (CODE)","PUBLISHSTATE (DISPLAY)","PUBLISHSTATE (URL)","YEAR (CODE)","YEAR (DISPLAY)","YEAR (URL)","REGION (CODE)","REGION (DISPLAY)","REGION (URL)","WORLDBANKINCOMEGROUP (CODE)","WORLDBANKINCOMEGROUP (DISPLAY)","WORLDBANKINCOMEGROUP (URL)","COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS7_113","General government expenditure on health as a percentage of total government expenditure","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=93","NHA_MDG","Madagascar note","","PUBLISHED","Published","","1995","1995","","AFR","Africa","","WB_LI","Low-income","","MDG","Madagascar","","8.09","8.08936","","","","",""
"WHS7_113","General government expenditure on health as a percentage of total government expenditure","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=93","NHA_MDG","Madagascar note","","PUBLISHED","Published","","1996","1996","","AFR","Africa","","WB_LI","Low-income","","MDG","Madagascar","","10.65","10.65012","","","","",""
"WHS7_113","General government expenditure on health as a percentage of total government expenditure","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=93","NHA_MDG","Madagascar note","","PUBLISHED","Published","","1997","1997","","AFR","Africa","","WB_LI","Low-income","","MDG","Madagascar","","12.22","12.21561","","","","",""
"WHS7_113","General government expenditure on health as a percentage of total government expenditure","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=93","NHA_MDG","Madagascar note","","PUBLISHED","Published","","1998","1998","","AFR","Africa","","WB_LI","Low-income","","MDG","Madagascar","","9.72","9.72105","","","","",""
"WHS7_113","General government expenditure on health as a percentage of total government expenditure","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=93","NHA_MDG","Madagascar note","","PUBLISHED","Published","","1999","1999","","AFR","Africa","","WB_LI","Low-income","","MDG","Madagascar","","11.33","11.33030","","","","",""
"WHS7_113","General government expenditure on health as a percentage of total government expenditure","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=93","NHA_MDG","Madagascar note","","PUBLISHED","Published","","2000","2000","","AFR","Africa","","WB_LI","Low-income","","MDG","Madagascar","","14.05","14.04540","","","","",""
"WHS7_113","General government expenditure on health as a percentage of total government expenditure","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=93","NHA_MDG","Madagascar note","","PUBLISHED","Published","","2001","2001","","AFR","Africa","","WB_LI","Low-income","","MDG","Madagascar","","15.28","15.27888","","","","",""
"WHS7_113","General government expenditure on health as a percentage of total government expenditure","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=93","NHA_MDG","Madagascar note","","PUBLISHED","Published","","2002","2002","","AFR","Africa","","WB_LI","Low-income","","MDG","Madagascar","","18.12","18.11510","","","","",""
"WHS7_113","General government expenditure on health as a percentage of total government expenditure","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=93","NHA_MDG","Madagascar note","","PUBLISHED","Published","","2003","2003","","AFR","Africa","","WB_LI","Low-income","","MDG","Madagascar","","11.72","11.72149","","","","",""
"WHS7_113","General government expenditure on health as a percentage of total government expenditure","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=93","NHA_MDG","Madagascar note","","PUBLISHED","Published","","2004","2004","","AFR","Africa","","WB_LI","Low-income","","MDG","Madagascar","","9.68","9.67600","","","","",""
"WHS7_113","General government expenditure on health as a percentage of total government expenditure","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=93","NHA_MDG","Madagascar note","","PUBLISHED","Published","","2005","2005","","AFR","Africa","","WB_LI","Low-income","","MDG","Madagascar","","12.28","12.28446","","","","",""
"WHS7_113","General government expenditure on health as a percentage of total government expenditure","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=93","NHA_MDG","Madagascar note","","PUBLISHED","Published","","2006","2006","","AFR","Africa","","WB_LI","Low-income","","MDG","Madagascar","","13.15","13.15424","","","","",""
"WHS7_113","General government expenditure on health as a percentage of total government expenditure","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=93","NHA_MDG","Madagascar note","","PUBLISHED","Published","","2007","2007","","AFR","Africa","","WB_LI","Low-income","","MDG","Madagascar","","14.67","14.67082","","","","",""
"WHS7_113","General government expenditure on health as a percentage of total government expenditure","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=93","NHA_MDG","Madagascar note","","PUBLISHED","Published","","2008","2008","","AFR","Africa","","WB_LI","Low-income","","MDG","Madagascar","","13.51","13.51259","","","","",""
"WHS7_113","General government expenditure on health as a percentage of total government expenditure","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=93","NHA_MDG","Madagascar note","","PUBLISHED","Published","","2009","2009","","AFR","Africa","","WB_LI","Low-income","","MDG","Madagascar","","17.12","17.11762","","","","",""
"WHS7_113","General government expenditure on health as a percentage of total government expenditure","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=93","NHA_MDG","Madagascar note","","PUBLISHED","Published","","2010","2010","","AFR","Africa","","WB_LI","Low-income","","MDG","Madagascar","","18.56","18.56152","","","","",""
"WHS7_113","General government expenditure on health as a percentage of total government expenditure","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=93","NHA_MDG","Madagascar note","","PUBLISHED","Published","","2011","2011","","AFR","Africa","","WB_LI","Low-income","","MDG","Madagascar","","17.32","17.32428","","","","",""
