"GHO (CODE)","GHO (DISPLAY)","GHO (URL)","PUBLISHSTATE (CODE)","PUBLISHSTATE (DISPLAY)","PUBLISHSTATE (URL)","YEAR (CODE)","YEAR (DISPLAY)","YEAR (URL)","REGION (CODE)","REGION (DISPLAY)","REGION (URL)","WORLDBANKINCOMEGROUP (CODE)","WORLDBANKINCOMEGROUP (DISPLAY)","WORLDBANKINCOMEGROUP (URL)","COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_47","Meningitis - number of reported cases","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=49","PUBLISHED","Published","","1968","1968","","AFR","Africa","","WB_LI","Low-income","","MDG","Madagascar","","109","","","","","",""
"WHS3_47","Meningitis - number of reported cases","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=49","PUBLISHED","Published","","2003","2003","","AFR","Africa","","WB_LI","Low-income","","MDG","Madagascar","","4","","","","","",""
"WHS3_47","Meningitis - number of reported cases","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=49","PUBLISHED","Published","","1981","1981","","AFR","Africa","","WB_LI","Low-income","","MDG","Madagascar","","8","","","","","",""
"WHS3_47","Meningitis - number of reported cases","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=49","PUBLISHED","Published","","1967","1967","","AFR","Africa","","WB_LI","Low-income","","MDG","Madagascar","","134","","","","","",""
"WHS3_47","Meningitis - number of reported cases","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=49","PUBLISHED","Published","","1966","1966","","AFR","Africa","","WB_LI","Low-income","","MDG","Madagascar","","43","","","","","",""
"WHS3_47","Meningitis - number of reported cases","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=49","PUBLISHED","Published","","1965","1965","","AFR","Africa","","WB_LI","Low-income","","MDG","Madagascar","","27","","","","","",""
"WHS3_47","Meningitis - number of reported cases","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=49","PUBLISHED","Published","","1978","1978","","AFR","Africa","","WB_LI","Low-income","","MDG","Madagascar","","2","","","","","",""
"WHS3_47","Meningitis - number of reported cases","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=49","PUBLISHED","Published","","1976","1976","","AFR","Africa","","WB_LI","Low-income","","MDG","Madagascar","","13","","","","","",""
"WHS3_47","Meningitis - number of reported cases","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=49","PUBLISHED","Published","","1973","1973","","AFR","Africa","","WB_LI","Low-income","","MDG","Madagascar","","3","","","","","",""
"WHS3_47","Meningitis - number of reported cases","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=49","PUBLISHED","Published","","1972","1972","","AFR","Africa","","WB_LI","Low-income","","MDG","Madagascar","","14","","","","","",""
"WHS3_47","Meningitis - number of reported cases","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=49","PUBLISHED","Published","","1971","1971","","AFR","Africa","","WB_LI","Low-income","","MDG","Madagascar","","177","","","","","",""
"WHS3_47","Meningitis - number of reported cases","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=49","PUBLISHED","Published","","1970","1970","","AFR","Africa","","WB_LI","Low-income","","MDG","Madagascar","","100","","","","","",""
"WHS3_47","Meningitis - number of reported cases","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=49","PUBLISHED","Published","","1969","1969","","AFR","Africa","","WB_LI","Low-income","","MDG","Madagascar","","156","","","","","",""
